1_0_cropped.flac|msa2 al kheir, law sama7t!
1_1_cropped.flac|law sama7t!
1_2_cropped.flac|law sama7t!
1_3_cropped.flac|3ayez eh?!
1_4_cropped.flac|ana 3ayez lego
1_5_cropped.flac|la 7awla wala qowwa ella bellah!
1_6_cropped.flac|ya fandem, ana 3ayez lego 3ady
1_7_cropped.flac|"el otobus, elly howa fel film ""e7na beto3 el otobus"""
1_8_cropped.flac|"faker enta 7ata, kan otobis,
7ata men ta7t kan 3ando ra2m shasya"
1_9_cropped.flac|"- a3taked kan 83...
- 3andak kam sana ya la?"
1_10_cropped.flac|heh? rod 3alaya?
1_11_cropped.flac|3andak kam sana?
1_12_cropped.flac|26!
1_13_cropped.flac|26 sana, w lessa betl3ab bel mak3abat?
1_14_cropped.flac|akhush ageeblek yoyo, wala adawat el tabib el soghayar?
1_15_cropped.flac|el doctor el so8ayar!
1_16_cropped.flac|ya ostaz, el lego di mak3abat, beyet3emel menha ashkal handaseya sa3ba.
1_17_cropped.flac|mesh mogarad...
1_18_cropped.flac|da she3ar elly enta bet2olo da.
1_19_cropped.flac|"khod ""simba"""
1_20_cropped.flac|khudo yad
1_21_cropped.flac|"bas da mesh ""simba""!"
1_22_cropped.flac|"khod ""simba"" w a3melak khasem 3ala masdas el kharaz"
1_23_cropped.flac|yalla
1_26_cropped.flac|ya wala ya wala estana ya la!
1_27_cropped.flac|"hedik ""dungel"" w ""kabool"" bbalash."
1_28_cropped.flac|ya 3azizi el moshahedin, el salam 3alekom w ra7met allah w barakato
1_29_cropped.flac|ahlan bekom fel 7al2a el gedida, men barnameg el da7ee7
1_30_cropped.flac|fi sanet 1916
1_32_cropped.flac|"fi madinet ""beland"""
1_33_cropped.flac|"w etgawez 7abibto ""christine"", w khalfou 4 3yal zay el amar."
1_34_cropped.flac|"bas ""oly"" 3amalet war4et nagara, bet3mel kol 7aga men el khashab"
1_37_cropped.flac|ya 3am el 7alawa 3ala 3eno, ya 5abar
1_39_cropped.flac|aywa ya abo 7ameed, ana mesh merta7 lel 7ekaya el sa3eeda di, fen el moshkela?
1_41_cropped.flac|lama 2 men 3yalo, kano byel3abo ma3 ba3d f war4et el nagara
1_42_cropped.flac|khod yad bel shakoosh, hat yad el manshar...
1_43_cropped.flac|bel8alat, beyewala3o fel sekhana el ghara!
1_44_cropped.flac|sa3etha, bet7ara2 el warsha kolaha wel beet.
1_47_cropped.flac|ba3den teb2a forsa ne3mel warsha gedida, teb2a wesh el sa3d 3alena
1_48_cropped.flac|w en shaa allah, yegelna shoghl aktar
1_49_cropped.flac|"w bel fe3l ya 3azizi, ba3d ma ""oli"" yebni warashto men awel w gedid,"
1_50_cropped.flac|hayedrab europa wel 3alam kolo, el kasad el 3azeem 1929
1_52_cropped.flac|"wahate2eed ""america"" w ""europe"" el sadrat"
1_53_cropped.flac|elly bye3temed 3aleha el e2tesad el danmarky, zay el zebda wel la7ma
1_55_cropped.flac|"3ammak ""olly"" ya 3azizi,
hayedtar yefl3as w yesra7 kol el 3amaleen elly 3ando"
1_56_cropped.flac|allah yekhreb beit el kholfa!
1_57_cropped.flac|ana 3araft delwa2ty ya 3azizi, leeh el atfal a7bab allah!
1_58_cropped.flac|3ashan mafesh 7ad 8ero ye2dar ye7ebhom
1_59_cropped.flac|heya hena w merato ka2ay zawga asela, bet2olo en aham 7aga en e7na ma3 ba3d
